,ATR6x1 breakout,ATR6x1 + 10d momentum filter
CAGR,0.10194863235164275,0.06339493440385113
AnnualVol,0.1069499627770537,0.08052565080378887
Sharpe,0.9611706014043621,0.8035344565455516
Sortino,1.6187218313641267,1.026470984354179
MaxDrawdown,-0.1914861669246991,-0.09285679045833983
HitRatio,0.4937046928653186,0.2701259061426936
FinalMultiple,2.007951172337849,1.5548520718000562
