iso_time,BTC Trend (default),ETH Trend (optimized),SOL Trend (optimized)
2023-01-17 00:00:00+00:00,100000.0,100000.0,100000.0
2023-01-18 00:00:00+00:00,98284.69183618814,96988.1731945373,100000.0
2023-01-19 00:00:00+00:00,98284.69183618814,96988.1731945373,100000.0
2023-01-20 00:00:00+00:00,98284.69183618814,96988.1731945373,100000.0
2023-01-21 00:00:00+00:00,99297.6848924524,93791.10317347999,94001.71168333174
2023-01-22 00:00:00+00:00,98891.19087414679,93816.42852407874,89039.87488330896
2023-01-23 00:00:00+00:00,100044.60339815011,93107.74274314418,89039.87488330896
2023-01-24 00:00:00+00:00,99392.2917817615,93107.74274314418,89039.87488330896
2023-01-25 00:00:00+00:00,98048.01255316693,93107.74274314418,89039.87488330896
2023-01-26 00:00:00+00:00,96952.80163415709,93107.74274314418,89039.87488330896
2023-01-27 00:00:00+00:00,96952.80163415709,93107.74274314418,89039.87488330896
2023-01-28 00:00:00+00:00,96952.80163415709,93107.74274314418,89039.87488330896
2023-01-29 00:00:00+00:00,97641.50290481525,93609.85086307883,93965.39538614468
2023-01-30 00:00:00+00:00,94564.32440671245,89445.47529091276,85971.61155138726
2023-01-31 00:00:00+00:00,94564.32440671245,89445.47529091276,85971.61155138726
2023-02-01 00:00:00+00:00,94564.32440671245,89445.47529091276,85971.61155138726
2023-02-02 00:00:00+00:00,91281.76581554343,85847.3786792767,85971.61155138726
2023-02-03 00:00:00+00:00,90276.89835041334,87383.63468109937,85971.61155138726
2023-02-04 00:00:00+00:00,90276.89835041334,87604.20155594706,85971.61155138726
2023-02-05 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-06 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-07 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-08 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-09 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-10 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-11 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-12 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-13 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-14 00:00:00+00:00,90276.89835041334,87178.11114508858,85971.61155138726
2023-02-15 00:00:00+00:00,98808.3604563696,91541.83877213397,93328.29188801025
2023-02-16 00:00:00+00:00,94525.95338965883,88484.5776945461,84555.77125326334
2023-02-17 00:00:00+00:00,100062.33146689224,93000.9637318065,89329.35015190006
2023-02-18 00:00:00+00:00,100365.72375892587,92803.66205187645,90959.37303009583
2023-02-19 00:00:00+00:00,98857.8449285477,92318.10453398722,98452.9937448291
2023-02-20 00:00:00+00:00,98857.8449285477,92318.10453398722,106325.24252931388
2023-02-21 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-22 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-23 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-24 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-25 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-26 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-27 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-02-28 00:00:00+00:00,98857.8449285477,92318.10453398722,97526.36101955344
2023-03-01 00:00:00+00:00,98857.8449285477,91962.86704804175,97526.36101955344
2023-03-02 00:00:00+00:00,98857.8449285477,89584.07461893572,97526.36101955344
