CAGR,AnnualVol,Sharpe,Sortino,MaxDrawdown,HitRatio,FinalMultiple,entry_buffer,entry_leverage,trailing_stop,cooldown,panic_threshold
0.9545754595013487,0.4096984505257002,1.8406960187966246,1.1348037565054272,-0.1358688483873649,0.1101375,1.6653330350765672,0.992,1.0,0.08,144,-0.09
0.9545754595013487,0.4096984505257002,1.8406960187966246,1.1348037565054272,-0.1358688483873649,0.1101375,1.6653330350765672,0.992,1.0,0.08,144,-0.07
1.0293638211217195,0.40748885209354446,1.9405785925419539,1.2056957045544052,-0.12970570799048453,0.1101125,1.7136086834520308,0.992,1.0,0.08,144,-0.05
1.0958295746010784,0.39635108890350684,2.0651513929363063,1.2747437449793446,-0.1358688483873648,0.1081875,1.7561561902036789,0.992,1.0,0.08,288,-0.09
1.0958295746010784,0.39635108890350684,2.0651513929363063,1.2747437449793446,-0.1358688483873648,0.1081875,1.7561561902036789,0.992,1.0,0.08,288,-0.07
1.1760227742844007,0.39406659971174235,2.1700870458589137,1.3511330127316121,-0.12970570799048642,0.1081625,1.8070646733388602,0.992,1.0,0.08,288,-0.05
0.834076309531202,0.3921796317822383,1.742754411921622,1.0578763645388214,-0.1460127762348432,0.104825,1.5866088189379506,0.992,1.0,0.08,432,-0.09
0.834076309531202,0.3921796317822383,1.742754411921622,1.0578763645388214,-0.1460127762348432,0.104825,1.5866088189379506,0.992,1.0,0.08,432,-0.07
0.9042539850002174,0.3898708209793632,1.8470389852606517,1.1310055962213146,-0.138373104115743,0.1048,1.6326023636759517,0.992,1.0,0.08,432,-0.05
1.1766321934712654,0.42285442308310117,2.050818257239701,1.2733970223494693,-0.15045859377298876,0.111375,1.8074498114414959,0.992,1.0,0.1,144,-0.09
1.1766321934712654,0.42285442308310117,2.050818257239701,1.2733970223494693,-0.15045859377298876,0.111375,1.8074498114414959,0.992,1.0,0.1,144,-0.07
1.259917161983748,0.420713832110733,2.148328260218263,1.3436910198944803,-0.15045859377298876,0.11135,1.859845224080038,0.992,1.0,0.1,144,-0.05
1.2751186736394025,0.42089686106173646,2.1635309530718274,1.3376650295072121,-0.15045859377298942,0.11015,1.8693584426621195,0.992,1.0,0.1,288,-0.09
1.2751186736394025,0.42089686106173646,2.1635309530718274,1.3376650295072121,-0.15045859377298942,0.11015,1.8693584426621195,0.992,1.0,0.1,288,-0.07
1.3621720525541385,0.4187462271969548,2.262127192767058,1.408979910251162,-0.15045859377298942,0.110125,1.9235484989240603,0.992,1.0,0.1,288,-0.05
0.9909735558953534,0.4169713206116918,1.860010671311976,1.1315526040978898,-0.15045859377298865,0.1067875,1.6888820068674437,0.992,1.0,0.1,432,-0.09
0.9909735558953534,0.4169713206116918,1.860010671311976,1.1315526040978898,-0.15045859377298865,0.1067875,1.6888820068674437,0.992,1.0,0.1,432,-0.07
1.0671546260868827,0.4148004477885852,1.958061888599612,1.200100297430227,-0.15045859377298865,0.1067625,1.7378403066152417,0.992,1.0,0.1,432,-0.05
1.0026934100655769,0.43428669748787463,1.8164843280169578,1.09926741336461,-0.17981163455936267,0.112425,1.6964425995070849,0.992,1.0,0.12,144,-0.09
1.0026934100655769,0.43428669748787463,1.8164843280169578,1.09926741336461,-0.17981163455936267,0.112425,1.6964425995070849,0.992,1.0,0.12,144,-0.07
1.0793229196803695,0.43220279454799937,1.910003468696616,1.16300833699628,-0.17981163455936267,0.1124,1.7456200701378675,0.992,1.0,0.12,144,-0.05
1.0933096498717108,0.4323809718972606,1.9249246931408173,1.159551744371724,-0.17981163455936433,0.1112,1.7545490202857135,0.992,1.0,0.12,288,-0.09
1.0933096498717108,0.4323809718972606,1.9249246931408173,1.159551744371724,-0.17981163455936433,0.1112,1.7545490202857135,0.992,1.0,0.12,288,-0.07
1.1734064291068105,0.4302878043713306,2.0194266594340506,1.2240854453685472,-0.17981163455936433,0.111175,1.8054109138389969,0.992,1.0,0.12,288,-0.05
0.8318711043446898,0.4285604020030025,1.6269550509216895,0.9642497159259786,-0.179811634559365,0.1078375,1.5851568125733622,0.992,1.0,0.12,432,-0.09
0.8318711043446898,0.4285604020030025,1.6269550509216895,0.9642497159259786,-0.179811634559365,0.1078375,1.5851568125733622,0.992,1.0,0.12,432,-0.07
0.9019644015503003,0.42644859248184597,1.7209163755780992,1.0263564001917296,-0.179811634559365,0.1078125,1.6311082657013152,0.992,1.0,0.12,432,-0.05
1.190309684699145,0.4916381406308402,1.8406984465597633,1.1348046792542015,-0.1623566276773658,0.1101375,1.816086891202805,0.992,1.2,0.08,144,-0.09
1.190309684699145,0.4916381406308402,1.8406984465597633,1.1348046792542015,-0.1623566276773658,0.1101375,1.816086891202805,0.992,1.2,0.08,144,-0.07
1.291772557911492,0.4889866225122533,1.9405811659227177,1.2056966979375507,-0.1542592535767362,0.1101125,1.879763149422254,0.992,1.2,0.08,144,-0.05
1.384684773275175,0.4756213066842082,2.0651542084672454,1.2747448177380991,-0.16235662767736647,0.1081875,1.9374842809523947,0.992,1.2,0.08,288,-0.09
1.384684773275175,0.4756213066842082,2.0651542084672454,1.2747448177380991,-0.16235662767736647,0.1081875,1.9374842809523947,0.992,1.2,0.08,288,-0.07
1.4951517864525816,0.4728799196540909,2.170090021605718,1.351134166284878,-0.15425925357673442,0.1081625,2.005417015871456,0.992,1.2,0.08,288,-0.05
1.0327128982664324,0.470615558138686,1.742756813183854,1.0578772493218862,-0.17753477868003198,0.104825,1.7157604539123803,0.992,1.2,0.08,432,-0.09
1.0327128982664324,0.470615558138686,1.742756813183854,1.0578772493218862,-0.17753477868003198,0.104825,1.7157604539123803,0.992,1.2,0.08,432,-0.07
1.126875332243083,0.46784498517523576,1.847041545282935,1.131006556110051,-0.16502636646636892,0.1048,1.7759190323566532,0.992,1.2,0.08,432,-0.05
1.4889555575606108,0.5074253076997214,2.0508208779858004,1.273398032760427,-0.17843155313678782,0.111375,2.0016258849164887,0.992,1.2,0.1,144,-0.09
1.4889555575606108,0.5074253076997214,2.0508208779858004,1.273398032760427,-0.17843155313678782,0.111375,2.0016258849164887,0.992,1.2,0.1,144,-0.07
1.6042527613907973,0.5048565985328796,2.148331019540921,1.343692099337755,-0.17843155313678782,0.11135,2.071807574638551,0.992,1.2,0.1,144,-0.05
1.6252241600039663,0.5050762332740837,2.1635337307125067,1.337666091311249,-0.1784315531367887,0.11015,2.0844923165342424,0.992,1.2,0.1,288,-0.09
1.6252241600039663,0.5050762332740837,2.1635337307125067,1.337666091311249,-0.1784315531367887,0.11015,2.0844923165342424,0.992,1.2,0.1,288,-0.07
1.7468338063298727,0.5024954726363458,2.2621301119057984,1.4089810427299758,-0.1784315531367887,0.110125,2.1575794973552993,0.992,1.2,0.1,288,-0.05
1.237749437864598,0.50036558473403,1.8600130817605052,1.1315534962034925,-0.17843155313678793,0.1067875,1.8459450320988549,0.992,1.2,0.1,432,-0.09
1.237749437864598,0.50036558473403,1.8600130817605052,1.1315534962034925,-0.17843155313678793,0.1067875,1.8459450320988549,0.992,1.2,0.1,432,-0.07
1.3414098878371141,0.4977605373463023,1.9580644393960078,1.200101255633905,-0.17843155313678793,0.1067625,1.9106681866418596,0.992,1.2,0.1,432,-0.05
1.2495049719689448,0.5211440369854495,1.8164865882012495,1.0992682410914467,-0.21431743324664743,0.112425,1.853320375002821,0.992,1.2,0.12,144,-0.09
1.2495049719689448,0.5211440369854495,1.8164865882012495,1.0992682410914467,-0.21431743324664743,0.112425,1.853320375002821,0.992,1.2,0.12,144,-0.07
1.353709979761141,0.5186433534575993,1.9100058567019695,1.1630092223818258,-0.21431743324664743,0.1124,1.9183021263351423,0.992,1.2,0.12,144,-0.05
1.3726638197789374,0.5188571662767127,1.9249270988098746,1.1595526173198683,-0.21431743324664665,0.1112,1.9300470237128504,0.992,1.2,0.12,288,-0.09
1.3726638197789374,0.5188571662767127,1.9249270988098746,1.1595526173198683,-0.21431743324664665,0.1112,1.9300470237128504,0.992,1.2,0.12,288,-0.07
1.4825739799738513,0.5163453652455967,2.019429195483672,1.2240863771731036,-0.21431743324664665,0.111175,1.997718990981015,0.992,1.2,0.12,288,-0.05
1.022466199207889,0.514272482403603,1.6269571023304292,0.9642504365021697,-0.21431743324664598,0.1078375,1.7091743091974927,0.992,1.2,0.12,432,-0.09
1.022466199207889,0.514272482403603,1.6269571023304292,0.9642504365021697,-0.21431743324664598,0.1078375,1.7091743091974927,0.992,1.2,0.12,432,-0.07
1.11615396992817,0.5117383109782151,1.7209185562069613,1.0263571758284995,-0.21431743324664598,0.1078125,1.7691019619886186,0.992,1.2,0.12,432,-0.05
